data/docx-2017-09/upjkaidzngkxlusc.x;0
data/docx-2017-09/onvsplbjuqdlhtca.x;0
data/docx-2017-09/cprmdhilvymvjmtv.x;1
data/docx-2017-09/sjdkybxnxarmtjlj.x;0
data/docx-2017-09/dzrujrzhdrpxfkoa.x;0
data/docx-2017-09/dhgeoxlyazzaekse.x;0
data/docx-2017-09/ctuzlcpipaxkiukr.x;0
data/docx-2017-09/frnavieckjfdxxlj.x;1
data/docx-2017-09/llqlbyenitfpxnlo.x;0
data/docx-2017-09/kukbifbhvvyyccnn.x;0
data/docx-2017-09/ktukpnspnirlofju.x;1
data/docx-2017-09/xgowhbnripqukivl.x;1
data/docx-2017-09/gloelpdrmznqmamx.x;1
data/docx-2017-09/xjgssgangtqdvtjh.x;1
data/docx-2017-09/fyfjoaqnydczypsq.x;1
data/docx-2017-09/skyspgycgvgajmzk.x;0
data/docx-2017-09/kbuoeqvlpnporemh.x;1
data/docx-2017-09/njwkktfthslcldia.x;1
data/docx-2017-09/vqarzhtghdrzjwcv.x;0
data/docx-2017-09/wvzdkcoydgshykjn.x;1
data/docx-2017-09/obryolxlranoqwls.x;0
data/docx-2017-09/emxvhnjdqcimkjkq.x;0
data/docx-2017-09/dpclqvdrjrxobpin.x;1
data/docx-2017-09/zvrfdiqrafqkmqyz.x;1
data/docx-2017-09/hijvozllnnuvwddx.x;1
data/docx-2017-09/xzuxabygumawtkig.x;0
data/docx-2017-09/cjuuqkwajmcrkvqf.x;1
data/docx-2017-09/ovhjvqmoipfrlast.x;1
data/docx-2017-09/mzxwsdxiommukpbw.x;1
data/docx-2017-09/lkxlelmrdqjmfqaf.x;0
data/docx-2017-09/soomwoovxhpnzdgs.x;1
data/docx-2017-09/hoyeglbronjmtzxe.x;1
data/docx-2017-09/beukzrkuexifvmkp.x;0
data/docx-2017-09/jxlxuhdqcnpihtqe.x;0
data/docx-2017-09/sknrqbklmiqjieqc.x;0
data/docx-2017-09/cxiacgcsvjlfghgx.x;1
data/docx-2017-09/jghgajteabgkqlbd.x;0
data/docx-2017-09/ipghfpcojmbcpctu.x;0
data/docx-2017-09/hvekixuzxzdqdaza.x;0
data/docx-2017-09/ekesdnrdybfixnij.x;0
data/docx-2017-09/uejawqxhiryzniuv.x;0
data/docx-2017-09/rocpsbyvlylkvbro.x;0
data/docx-2017-09/fbhnwbxbxhtmxrbt.x;1
data/docx-2017-09/kyfhemwllzpoglrq.x;1
data/docx-2017-09/vxsdggatilslrznr.x;1
data/docx-2017-09/kqfykuoqggmdgkoa.x;1
